"","vaccine","state_name","vaccine_coverage_estimate"
"1","Hib","United States",92
"2","Hib","Oregon",96.4
"3","Hib","Washington",93.3
"4","Hib","Puerto Rico",81.7
"5","Hib","California",85.6
"6","Hib","Hawaii",88.6
"7","Hib","Nevada",97.5
"8","Hib","Alaska",87.7
"9","Hib","Idaho",91
"10","Hib","North Dakota",94.2
"11","Hib","South Dakota",93.7
"12","Hib","Utah",93.5
"13","Hib","Wyoming",89.5
"14","Hib","Arizona",95
"15","Hib","Kansas",88.9
"16","Hib","Missouri",93.8
"17","Hib","Nebraska",96.5
"18","Hib","Colorado",92.1
"19","Hib","Montana",93.3
"20","Hib","Texas",91.3
"21","Hib","Iowa",97.8
"22","Hib","Wisconsin",95.3
"23","Hib","Arkansas",93.2
"24","Hib","Louisiana",96.1
"25","Hib","New Mexico",95.3
"26","Hib","Oklahoma",87.6
"27","Hib","Indiana",88.6
"28","Hib","Michigan",93.4
"29","Hib","Minnesota",94.8
"30","Hib","Ohio",91.8
"31","Hib","Mississippi",91.8
"32","Hib","North Carolina",96.4
"33","Hib","South Carolina",96.1
"34","Hib","Tennessee",94.8
"35","Hib","Illinois",94.6
"36","Hib","West Virginia",98
"37","Hib","Alabama",87.8
"38","Hib","Florida",94.3
"39","Hib","Georgia",92
"40","Hib","Kentucky",90.9
"41","Hib","District of Columbia",81
"42","Hib","Maryland",95.5
"43","Hib","Pennsylvania",91.9
"44","Hib","Virginia",93
"45","Hib","New Jersey",90.9
"46","Hib","New York",89
"47","Hib","Delaware",94.1
"48","Hib","Maine",96.6
"49","Hib","Massachusetts",90.3
"50","Hib","New Hampshire",95
"51","Hib","Rhode Island",95.1
"52","Hib","Vermont",95.8
"53","Hib","Connecticut",96.1
