"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Rotavirus","Alabama",2019,"birth_cohort",77.2,"70.0 to 83.2",227
"child_vax_view","Rotavirus","Alabama",2020,"birth_cohort",75.5,"67.0 to 82.4",240
"child_vax_view","Rotavirus","Alabama",2021,"birth_cohort",66.6,"58.4 to 73.9",270
"child_vax_view","Rotavirus","Alabama",2022,"birth_cohort",68.6,"57.8 to 77.7",184
"child_vax_view","Rotavirus","Alaska",2019,"birth_cohort",66.3,"59.1 to 72.9",287
"child_vax_view","Rotavirus","Alaska",2020,"birth_cohort",69.9,"63.4 to 75.6",302
"child_vax_view","Rotavirus","Alaska",2021,"birth_cohort",70.5,"63.1 to 77.0",279
"child_vax_view","Rotavirus","Alaska",2022,"birth_cohort",62.9,"49.0 to 74.9",126
"child_vax_view","Rotavirus","Arizona",2019,"birth_cohort",73.7,"65.8 to 80.4",235
"child_vax_view","Rotavirus","Arizona",2020,"birth_cohort",70.9,"63.1 to 77.6",271
"child_vax_view","Rotavirus","Arizona",2021,"birth_cohort",72.7,"64.5 to 79.7",293
"child_vax_view","Rotavirus","Arizona",2022,"birth_cohort",80.5,"70.6 to 87.7",145
"child_vax_view","Rotavirus","Arkansas",2019,"birth_cohort",74.9,"68.6 to 80.3",357
"child_vax_view","Rotavirus","Arkansas",2020,"birth_cohort",78.2,"72.1 to 83.3",323
"child_vax_view","Rotavirus","Arkansas",2021,"birth_cohort",73.5,"66.6 to 79.5",312
"child_vax_view","Rotavirus","Arkansas",2022,"birth_cohort",75.6,"65.8 to 83.3",144
"child_vax_view","Rotavirus","California",2019,"birth_cohort",73.5,"66.8 to 79.3",537
"child_vax_view","Rotavirus","California",2020,"birth_cohort",73.9,"66.5 to 80.2",434
"child_vax_view","Rotavirus","California",2021,"birth_cohort",70.5,"64.3 to 76.1",397
"child_vax_view","Rotavirus","California",2022,"birth_cohort",62.2,"52.7 to 70.9",193
"child_vax_view","Rotavirus","Colorado",2019,"birth_cohort",81.9,"76.0 to 86.5",265
"child_vax_view","Rotavirus","Colorado",2020,"birth_cohort",73.5,"67.3 to 78.9",311
"child_vax_view","Rotavirus","Colorado",2021,"birth_cohort",77.1,"71.4 to 81.9",302
"child_vax_view","Rotavirus","Colorado",2022,"birth_cohort",80.1,"72.6 to 85.9",177
"child_vax_view","Rotavirus","Connecticut",2019,"birth_cohort",81.8,"76.1 to 86.4",311
"child_vax_view","Rotavirus","Connecticut",2020,"birth_cohort",83.1,"74.6 to 89.1",248
"child_vax_view","Rotavirus","Connecticut",2021,"birth_cohort",83,"76.6 to 87.9",254
"child_vax_view","Rotavirus","Connecticut",2022,"birth_cohort",84.9,"72.2 to 92.4",136
"child_vax_view","Rotavirus","Delaware",2019,"birth_cohort",79.7,"71.7 to 85.9",205
"child_vax_view","Rotavirus","Delaware",2020,"birth_cohort",76.3,"67.4 to 83.4",183
"child_vax_view","Rotavirus","Delaware",2021,"birth_cohort",70,"61.5 to 77.4",179
"child_vax_view","Rotavirus","Delaware",2022,"birth_cohort",82.1,"68.8 to 90.5",115
"child_vax_view","Rotavirus","District of Columbia",2019,"birth_cohort",76.4,"68.9 to 82.5",327
"child_vax_view","Rotavirus","District of Columbia",2020,"birth_cohort",75.2,"66.2 to 82.4",293
"child_vax_view","Rotavirus","District of Columbia",2021,"birth_cohort",73,"63.7 to 80.7",314
"child_vax_view","Rotavirus","District of Columbia",2022,"birth_cohort",65.6,"52.5 to 76.7",212
"child_vax_view","Rotavirus","Florida",2019,"birth_cohort",71,"63.1 to 77.8",333
"child_vax_view","Rotavirus","Florida",2020,"birth_cohort",73.7,"67.2 to 79.2",390
"child_vax_view","Rotavirus","Florida",2021,"birth_cohort",71.4,"65.0 to 77.0",433
"child_vax_view","Rotavirus","Florida",2022,"birth_cohort",76.8,"69.2 to 83.0",203
"child_vax_view","Rotavirus","Georgia",2019,"birth_cohort",74.2,"65.3 to 81.5",273
"child_vax_view","Rotavirus","Georgia",2020,"birth_cohort",68.1,"59.3 to 75.8",338
"child_vax_view","Rotavirus","Georgia",2021,"birth_cohort",72.1,"65.3 to 78.1",376
"child_vax_view","Rotavirus","Georgia",2022,"birth_cohort",77.6,"69.3 to 84.2",193
"child_vax_view","Rotavirus","Hawaii",2019,"birth_cohort",81,"75.0 to 85.8",246
"child_vax_view","Rotavirus","Hawaii",2020,"birth_cohort",73,"64.6 to 80.0",201
"child_vax_view","Rotavirus","Hawaii",2021,"birth_cohort",75.5,"68.3 to 81.5",238
"child_vax_view","Rotavirus","Hawaii",2022,"birth_cohort",76.6,"67.5 to 83.8",140
"child_vax_view","Rotavirus","Idaho",2019,"birth_cohort",77.7,"71.6 to 82.9",306
"child_vax_view","Rotavirus","Idaho",2020,"birth_cohort",80.3,"74.2 to 85.2",286
"child_vax_view","Rotavirus","Idaho",2021,"birth_cohort",74.1,"66.4 to 80.5",251
"child_vax_view","Rotavirus","Idaho",2022,"birth_cohort",75.3,"66.7 to 82.3",175
"child_vax_view","Rotavirus","Illinois",2019,"birth_cohort",78.5,"73.6 to 82.8",548
"child_vax_view","Rotavirus","Illinois",2020,"birth_cohort",77.1,"72.1 to 81.3",549
"child_vax_view","Rotavirus","Illinois",2021,"birth_cohort",77,"72.4 to 81.1",601
"child_vax_view","Rotavirus","Illinois",2022,"birth_cohort",75,"68.1 to 80.8",282
"child_vax_view","Rotavirus","Indiana",2019,"birth_cohort",74.7,"66.9 to 81.1",209
"child_vax_view","Rotavirus","Indiana",2020,"birth_cohort",73.1,"65.5 to 79.5",232
"child_vax_view","Rotavirus","Indiana",2021,"birth_cohort",75.3,"67.9 to 81.4",228
"child_vax_view","Rotavirus","Indiana",2022,"birth_cohort",82.5,"73.0 to 89.2",123
