"","Season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label"
"1","2025-26","APR","Not Submitted",NA,"Alaska",NA,"0-7 months"
"2","2025-26","APR","Not Submitted",NA,"Alabama",NA,"0-7 months"
"3","2025-26","APR","14,953",34746,"Arkansas",0.430351695159155,"0-7 months"
"4","2025-26","APR","6",689,"American Samoa",0.008708272859216,"0-7 months"
"5","2025-26","APR","Not Submitted",NA,"Arizona",NA,"0-7 months"
"6","2025-26","APR","Not Submitted",NA,"New York City",NA,"0-7 months"
"7","2025-26","APR","172,527",403878,"California",0.427176028404617,"0-7 months"
"8","2025-26","APR","Not Submitted",NA,"Chicago",NA,"0-7 months"
"9","2025-26","APR","Not Submitted",NA,"Colorado",NA,"0-7 months"
"10","2025-26","APR","Not Submitted",NA,"Connecticut",NA,"0-7 months"
"11","2025-26","APR","4,021",8013,"District of Columbia",0.501809559465868,"0-7 months"
"12","2025-26","APR","Not Submitted",NA,"Delaware",NA,"0-7 months"
"13","2025-26","APR","Not Submitted",NA,"Florida",NA,"0-7 months"
"14","2025-26","APR","3",1747,"Federated States of Micronesia",0.001717229536348,"0-7 months"
"15","2025-26","APR","44,551",124703,"Georgia",0.357256842257203,"0-7 months"
"16","2025-26","APR","507",3040,"Guam",0.166776315789474,"0-7 months"
"17","2025-26","APR","Not Submitted",NA,"Hawaii",NA,"0-7 months"
"18","2025-26","APR","Not Submitted",NA,"Iowa",NA,"0-7 months"
"19","2025-26","APR","Not Submitted",NA,"Idaho",NA,"0-7 months"
"20","2025-26","APR","Not Submitted",NA,"Illinois",NA,"0-7 months"
"21","2025-26","APR","36,371",78935,"Indiana",0.460771520871603,"0-7 months"
"22","2025-26","APR","Not Submitted",NA,"Kansas",NA,"0-7 months"
"23","2025-26","APR","22,201",52554,"Kentucky",0.422441679034897,"0-7 months"
"24","2025-26","APR","24,496",53388,"Louisiana",0.458829699557953,"0-7 months"
"25","2025-26","APR","Not Submitted",NA,"Massachusetts",NA,"0-7 months"
"26","2025-26","APR","Not Submitted",NA,"Maryland",NA,"0-7 months"
"27","2025-26","APR","Not Submitted",NA,"Maine",NA,"0-7 months"
"28","2025-26","APR","0",1704,"Marshall Islands",0,"0-7 months"
"29","2025-26","APR","Not Submitted",NA,"Michigan",NA,"0-7 months"
"30","2025-26","APR","Not Submitted",NA,"Minnesota",NA,"0-7 months"
"31","2025-26","APR","25,749",67214,"Missouri",0.383089832475377,"0-7 months"
"32","2025-26","APR","304",789,"N. Mariana Islands",0.385297845373891,"0-7 months"
