"vaccine","state_name","vaccine_coverage_estimate"
"nirsevimab","Alabama",33.7647141010863
"nirsevimab","Alaska",NA
"nirsevimab","Arizona",NA
"nirsevimab","Arkansas",43.0351695159155
"nirsevimab","California",42.7176028404617
"nirsevimab","Colorado",NA
"nirsevimab","Connecticut",NA
"nirsevimab","Delaware",NA
"nirsevimab","Florida",29.1249576218261
"nirsevimab","Georgia",35.7256842257203
"nirsevimab","Hawaii",NA
"nirsevimab","Idaho",NA
"nirsevimab","Illinois",NA
"nirsevimab","Indiana",46.0771520871603
"nirsevimab","Iowa",41.4727613586237
"nirsevimab","Kansas",NA
"nirsevimab","Kentucky",42.2441679034897
"nirsevimab","Louisiana",45.8829699557953
"nirsevimab","Maine",NA
"nirsevimab","Maryland",NA
"nirsevimab","Massachusetts",NA
"nirsevimab","Michigan",NA
"nirsevimab","Minnesota",NA
"nirsevimab","Mississippi",39.8981883515496
"nirsevimab","Missouri",38.3089832475377
"nirsevimab","Montana",31.7589720868409
"nirsevimab","Nebraska",NA
"nirsevimab","Nevada",NA
"nirsevimab","New Hampshire",NA
"nirsevimab","New Jersey",NA
"nirsevimab","New Mexico",43.1438935912938
"nirsevimab","New York",NA
"nirsevimab","North Carolina",NA
"nirsevimab","North Dakota",NA
"nirsevimab","Ohio",NA
"nirsevimab","Oklahoma",37.2466037496297
"nirsevimab","Oregon",NA
"nirsevimab","Pennsylvania",NA
"nirsevimab","Rhode Island",NA
"nirsevimab","South Carolina",NA
"nirsevimab","South Dakota",53.8623595505618
"nirsevimab","Tennessee",NA
"nirsevimab","Texas",NA
"nirsevimab","Utah",NA
"nirsevimab","Vermont",50.8750994431185
"nirsevimab","Virginia",NA
"nirsevimab","Washington",NA
"nirsevimab","West Virginia",40.8881897386254
"nirsevimab","Wisconsin",NA
"nirsevimab","Wyoming",NA
"nirsevimab","District of Columbia",50.1809559465868
"nirsevimab","United States",39.1248424256272
