"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"SEP",1,0.476478327347722,28123
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"OCT",2,15.5257543431881,32810
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"NOV",3,23.3458676694136,37497
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"DEC",4,26.720398245822,42185
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"JAN",5,27.705239802014,46872
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"FEB",6,27.2134835819159,51559
"cdc_iis","nirsevimab","Alabama","2024-25",2024,"MAR",7,26.6810084272659,56246
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"SEP",1,0.978029271018897,28629
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"OCT",2,23.0831412233167,33401
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"NOV",3,31.1222885884942,38172
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"DEC",4,34.4308867362146,42944
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"JAN",5,34.8716336581788,47715
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"FEB",6,34.177986930097,52487
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"MAR",7,33.7647141010863,57258
"cdc_iis","nirsevimab","Alabama","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"SEP",1,9.14898001236349,4853
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"OCT",2,25.1324620275521,5662
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"NOV",3,33.7042188224386,6471
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"DEC",4,37.3901098901099,7280
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"JAN",5,39.1196834817013,8088
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"FEB",6,39.2154658873778,8897
"cdc_iis","nirsevimab","Alaska","2024-25",2024,"MAR",7,39.5940655264785,9706
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Alaska","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Arizona","2024-25",2024,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Arizona","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Arizona","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Arizona","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Arizona","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Arizona","2025-26",2025,"JAN",5,NA,NA
