"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"1","MMR","","States","Kansas","2022-23","91.6",35543,30.8,"†. ‡. §",NA,"Stratified 1-stage cluster sample"
"2","MMR","","States","Kentucky","2022-23","90.1",54742,96.9,">=. ‡. §",NA,"Census"
"3","MMR","","States","Louisiana","2022-23","92.2",54314,100,"*",NA,"Census"
"4","MMR","","States","Maine","2022-23","96.8",12403,93.9,"",NA,"Census"
"5","MMR","","States","Maryland","2022-23","96.7",59684,100,"*. ‡",NA,"Census"
"6","MMR","","States","Massachusetts","2022-23","96.5",66041,100,"*. ‡",NA,"Census"
"7","MMR","","States","Michigan","2022-23","92.9",113678,100,"*",NA,"Census"
"8","MMR","","States","Minnesota","2022-23","87.6",68152,97.9,"",NA,"Census"
"9","MMR","","States","Mississippi","2022-23","98.4",36048,100,">=. *",NA,"Census"
"10","MMR","","States","Missouri","2022-23","91.3",69126,100,"*",NA,"Census"
"11","MMR","","States","Nebraska","2022-23","95.1",23176,100,"*. ‡",NA,"Census"
"12","MMR","","States","Nevada","2022-23","92.8",34333,89.1,"",NA,"Vol. response (pub.), census (pvt.)"
"13","MMR","","States","New Hampshire","2022-23","89.4",11332,100,">=. §. *",NA,"Census"
"14","MMR","","States","New Jersey","2022-23","94.3",104468,100,">=. §. *",NA,"Census"
"15","MMR","","States","New Mexico","2022-23","94.9",21068,100,"*",NA,"Census"
"16","MMR","","States","New York","2022-23","97.9",205906,96.6,"",NA,"Census (pub.), vol. response (pvt.)"
"17","MMR","","States","NY-City of New York","2022-23","97.3",85379,97.6,"",NA,"Census (pub.), vol. response (pvt.)"
"18","MMR","","States","North Carolina","2022-23","94.0",125679,83.1,"§. ‡",NA,"Vol. response"
"19","MMR","","States","North Dakota","2022-23","92.0",10554,99.4,"",NA,"Census"
"20","MMR","","States","Ohio","2022-23","89.3",134893,93.7,"",NA,"Census (pub.), vol. response (pvt.)"
