"","vaccine","state_name","vaccine_coverage_estimate"
"1","DTP, DTaP, or DT","Alabama","94.0"
"2","DTP, DTaP, or DT","Alaska","89.7"
"3","DTP, DTaP, or DT","Arizona","87.4"
"4","DTP, DTaP, or DT","Arkansas","90.0"
"5","DTP, DTaP, or DT","California","94.7"
"6","DTP, DTaP, or DT","Colorado","86.9"
"7","DTP, DTaP, or DT","Connecticut","98.4"
"8","DTP, DTaP, or DT","Delaware","95.2"
"9","DTP, DTaP, or DT","District of Columbia","93.6"
"10","DTP, DTaP, or DT","Florida","88.9"
"11","DTP, DTaP, or DT","Georgia","89.1"
"12","DTP, DTaP, or DT","Hawaii","88.8"
"13","DTP, DTaP, or DT","Idaho","74.8"
"14","DTP, DTaP, or DT","Illinois","92.0"
"15","DTP, DTaP, or DT","Indiana","88.4"
"16","DTP, DTaP, or DT","United States","92.0"
"17","DTP, DTaP, or DT","Iowa","88.9"
"18","DTP, DTaP, or DT","Kansas",NA
"19","DTP, DTaP, or DT","Kentucky","90.3"
"20","DTP, DTaP, or DT","Louisiana","89.4"
"21","DTP, DTaP, or DT","Maine","97.4"
"22","DTP, DTaP, or DT","Maryland","96.7"
"23","DTP, DTaP, or DT","Massachusetts","96.4"
"24","DTP, DTaP, or DT","Michigan","90.8"
"25","DTP, DTaP, or DT","Minnesota","86.1"
"26","DTP, DTaP, or DT","Mississippi","97.0"
"27","DTP, DTaP, or DT","Missouri","88.8"
"28","DTP, DTaP, or DT","Nebraska","94.4"
"29","DTP, DTaP, or DT","Nevada","90.0"
"30","DTP, DTaP, or DT","New Hampshire","88.2"
"31","DTP, DTaP, or DT","New Jersey","92.5"
"32","DTP, DTaP, or DT","New Mexico","94.7"
"33","DTP, DTaP, or DT","New York","97.4"
"34","DTP, DTaP, or DT","North Carolina","93.4"
"35","DTP, DTaP, or DT","North Dakota","88.2"
"36","DTP, DTaP, or DT","Ohio","88.5"
"37","DTP, DTaP, or DT","Oklahoma","87.8"
"38","DTP, DTaP, or DT","Oregon","88.6"
"39","DTP, DTaP, or DT","Pennsylvania","92.9"
"40","DTP, DTaP, or DT","Rhode Island","96.4"
"41","DTP, DTaP, or DT","South Carolina","93.5"
"42","DTP, DTaP, or DT","South Dakota","88.6"
"43","DTP, DTaP, or DT","Tennessee","94.1"
"44","DTP, DTaP, or DT","Texas","92.8"
"45","DTP, DTaP, or DT","Utah","86.6"
"46","DTP, DTaP, or DT","Vermont","93.3"
"47","DTP, DTaP, or DT","Virginia","93.6"
"48","DTP, DTaP, or DT","Washington","89.1"
"49","DTP, DTaP, or DT","West Virginia","99.1"
"50","DTP, DTaP, or DT","Wisconsin","86.4"
"51","DTP, DTaP, or DT","Wyoming","91.5"
