"source","vaccine","state_name","year","year_type","school_year","vaccine_coverage_estimate","ci_95","sample_size"
"school_vax_view","DTP, DTaP, or DT","Alabama",2019,"school_year","2019-20",86.6,NA,59477
"school_vax_view","DTP, DTaP, or DT","Alabama",2020,"school_year","2020-21",94.7,NA,56974
"school_vax_view","DTP, DTaP, or DT","Alabama",2021,"school_year","2021-22",94.9,NA,60332
"school_vax_view","DTP, DTaP, or DT","Alabama",2022,"school_year","2022-23",93.9,NA,59113
"school_vax_view","DTP, DTaP, or DT","Alabama",2023,"school_year","2023-24",93.8,NA,54565
"school_vax_view","DTP, DTaP, or DT","Alabama",2024,"school_year","2024-25",95,NA,53589
"school_vax_view","DTP, DTaP, or DT","Alaska",2019,"school_year","2019-20",NA,NA,10381
"school_vax_view","DTP, DTaP, or DT","Alaska",2021,"school_year","2021-22",78,NA,9790
"school_vax_view","DTP, DTaP, or DT","Alaska",2022,"school_year","2022-23",83.8,NA,9650
"school_vax_view","DTP, DTaP, or DT","Alaska",2023,"school_year","2023-24",83.8,NA,8644
"school_vax_view","DTP, DTaP, or DT","Alaska",2024,"school_year","2024-25",82.2,NA,7338
"school_vax_view","DTP, DTaP, or DT","Arizona",2019,"school_year","2019-20",92.6,NA,83976
"school_vax_view","DTP, DTaP, or DT","Arizona",2020,"school_year","2020-21",92,NA,76382
"school_vax_view","DTP, DTaP, or DT","Arizona",2021,"school_year","2021-22",90.5,NA,83463
"school_vax_view","DTP, DTaP, or DT","Arizona",2022,"school_year","2022-23",89.6,NA,80814
"school_vax_view","DTP, DTaP, or DT","Arizona",2023,"school_year","2023-24",89.4,NA,74834
"school_vax_view","DTP, DTaP, or DT","Arizona",2024,"school_year","2024-25",88.7,NA,75024
"school_vax_view","DTP, DTaP, or DT","Arkansas",2019,"school_year","2019-20",93.2,NA,39510
"school_vax_view","DTP, DTaP, or DT","Arkansas",2020,"school_year","2020-21",92.3,NA,37540
"school_vax_view","DTP, DTaP, or DT","Arkansas",2021,"school_year","2021-22",91.3,NA,39358
"school_vax_view","DTP, DTaP, or DT","Arkansas",2022,"school_year","2022-23",90.6,NA,38358
"school_vax_view","DTP, DTaP, or DT","Arkansas",2023,"school_year","2023-24",91.4,NA,37535
"school_vax_view","DTP, DTaP, or DT","Arkansas",2024,"school_year","2024-25",88.5,NA,37570
