source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,Alabama,2019-20,2019,any,1.2,59477,713
school_vax_view,Alabama,2019-20,2019,medical,0.1,59477,63
school_vax_view,Alabama,2019-20,2019,non_medical,1.1,59477,650
school_vax_view,Alabama,2020-21,2020,any,1.3,56974,719
school_vax_view,Alabama,2020-21,2020,medical,0.1,56974,66
school_vax_view,Alabama,2020-21,2020,non_medical,1.1,56974,653
school_vax_view,Alabama,2021-22,2021,any,1.7,60332,1005
school_vax_view,Alabama,2021-22,2021,medical,0.2,60332,93
school_vax_view,Alabama,2021-22,2021,non_medical,1.5,60332,912
school_vax_view,Alabama,2022-23,2022,any,2.0,59113,1180
school_vax_view,Alabama,2022-23,2022,medical,0.1,59113,79
school_vax_view,Alabama,2022-23,2022,non_medical,1.9,59113,1101
school_vax_view,Alabama,2023-24,2023,any,2.2,54565,1188
school_vax_view,Alabama,2023-24,2023,medical,0.1,54565,44
school_vax_view,Alabama,2023-24,2023,non_medical,2.1,54565,1144
school_vax_view,Alabama,2024-25,2024,any,2.3,53589,1214
school_vax_view,Alabama,2024-25,2024,medical,0.1,53589,44
school_vax_view,Alabama,2024-25,2024,non_medical,2.2,53589,1169
school_vax_view,Alaska,2019-20,2019,any,5.9,10381,608
school_vax_view,Alaska,2019-20,2019,medical,0.5,10381,51
school_vax_view,Alaska,2019-20,2019,non_medical,5.4,10381,557
school_vax_view,Alaska,2020-21,2020,any,4.0,9461,375
school_vax_view,Alaska,2020-21,2020,medical,0.2,9461,21
school_vax_view,Alaska,2020-21,2020,non_medical,3.8,9461,354
school_vax_view,Alaska,2021-22,2021,any,4.6,9790,446
school_vax_view,Alaska,2021-22,2021,medical,0.5,9790,45
school_vax_view,Alaska,2021-22,2021,non_medical,4.1,9790,401
school_vax_view,Alaska,2022-23,2022,any,5.7,9650,550
school_vax_view,Alaska,2022-23,2022,medical,0.7,9650,72
school_vax_view,Alaska,2022-23,2022,non_medical,5.0,9650,478
school_vax_view,Alaska,2023-24,2023,any,9.5,8644,821
school_vax_view,Alaska,2023-24,2023,medical,0.3,8644,27
school_vax_view,Alaska,2023-24,2023,non_medical,9.2,8644,794
school_vax_view,Alaska,2024-25,2024,any,9.4,7338,686
school_vax_view,Alaska,2024-25,2024,medical,0.4,7338,26
school_vax_view,Alaska,2024-25,2024,non_medical,9.0,7338,660
school_vax_view,Arizona,2019-20,2019,any,5.5,83976,4638
school_vax_view,Arizona,2019-20,2019,medical,0.2,83976,144
school_vax_view,Arizona,2019-20,2019,non_medical,5.4,83976,4494
school_vax_view,Arizona,2020-21,2020,any,5.5,76382,4211
school_vax_view,Arizona,2020-21,2020,medical,0.1,76382,72
school_vax_view,Arizona,2020-21,2020,non_medical,5.4,76382,4139
school_vax_view,Arizona,2021-22,2021,any,6.8,83463,5707
school_vax_view,Arizona,2021-22,2021,medical,0.4,83463,302
school_vax_view,Arizona,2021-22,2021,non_medical,6.5,83463,5405
school_vax_view,Arizona,2022-23,2022,any,7.4,80814,6009
school_vax_view,Arizona,2022-23,2022,medical,0.1,80814,64
school_vax_view,Arizona,2022-23,2022,non_medical,7.4,80814,5944
school_vax_view,Arizona,2023-24,2023,any,8.5,74834,6383
school_vax_view,Arizona,2023-24,2023,medical,0.4,74834,305
school_vax_view,Arizona,2023-24,2023,non_medical,8.1,74834,6078
school_vax_view,Arizona,2024-25,2024,any,9.1,75024,6852
school_vax_view,Arizona,2024-25,2024,medical,0.1,75024,68
school_vax_view,Arizona,2024-25,2024,non_medical,9.0,75024,6784
school_vax_view,Arkansas,2019-20,2019,any,1.9,39510,769
school_vax_view,Arkansas,2019-20,2019,medical,0.1,39510,15
school_vax_view,Arkansas,2019-20,2019,non_medical,1.9,39510,753
school_vax_view,Arkansas,2020-21,2020,any,2.0,37540,735
school_vax_view,Arkansas,2020-21,2020,medical,0.1,37540,14
school_vax_view,Arkansas,2020-21,2020,non_medical,1.9,37540,721
school_vax_view,Arkansas,2021-22,2021,any,2.5,39358,1000
school_vax_view,Arkansas,2021-22,2021,medical,0.0,39358,12
school_vax_view,Arkansas,2021-22,2021,non_medical,2.5,39358,988
school_vax_view,Arkansas,2022-23,2022,any,3.1,38358,1182
school_vax_view,Arkansas,2022-23,2022,medical,0.1,38358,23
school_vax_view,Arkansas,2022-23,2022,non_medical,3.0,38358,1159
school_vax_view,Arkansas,2023-24,2023,any,3.5,37535,1299
school_vax_view,Arkansas,2023-24,2023,medical,0.1,37535,10
school_vax_view,Arkansas,2023-24,2023,non_medical,3.4,37535,1289
school_vax_view,Arkansas,2024-25,2024,any,3.6,37570,1337
school_vax_view,Arkansas,2024-25,2024,medical,0.1,37570,13
school_vax_view,Arkansas,2024-25,2024,non_medical,3.5,37570,1324
school_vax_view,California,2019-20,2019,any,0.8,566155,4249
school_vax_view,California,2019-20,2019,medical,0.8,566155,4249
school_vax_view,California,2019-20,2019,non_medical,,566155,
school_vax_view,California,2020-21,2020,any,0.5,498214,2391
school_vax_view,California,2020-21,2020,medical,0.5,498214,2391
school_vax_view,California,2021-22,2021,any,0.2,512144,948
school_vax_view,California,2021-22,2021,medical,0.3,512144,1383
school_vax_view,California,2022-23,2022,any,0.2,541132,1036
school_vax_view,California,2022-23,2022,medical,0.2,541132,1036
school_vax_view,California,2023-24,2023,any,0.1,569680,648
school_vax_view,California,2023-24,2023,medical,0.1,569680,648
school_vax_view,California,2024-25,2024,any,0.1,590849,492
school_vax_view,California,2024-25,2024,medical,0.1,590849,492
school_vax_view,Colorado,2019-20,2019,any,4.9,69088,3376
school_vax_view,Colorado,2019-20,2019,medical,0.2,69088,121
school_vax_view,Colorado,2019-20,2019,non_medical,4.7,69088,3254
school_vax_view,Colorado,2020-21,2020,any,4.2,63619,2643
school_vax_view,Colorado,2020-21,2020,medical,0.2,63619,98
school_vax_view,Colorado,2020-21,2020,non_medical,4.0,63619,2545
school_vax_view,Colorado,2021-22,2021,any,3.2,66900,2123
school_vax_view,Colorado,2021-22,2021,medical,0.1,66900,87
school_vax_view,Colorado,2021-22,2021,non_medical,3.0,66900,2036
school_vax_view,Colorado,2022-23,2022,any,4.3,65576,2818
school_vax_view,Colorado,2022-23,2022,medical,0.3,65576,197
school_vax_view,Colorado,2022-23,2022,non_medical,4.0,65576,2621
school_vax_view,Colorado,2023-24,2023,any,4.2,61662,2584
school_vax_view,Colorado,2023-24,2023,medical,0.2,61662,105
school_vax_view,Colorado,2023-24,2023,non_medical,4.0,61662,2479
school_vax_view,Colorado,2024-25,2024,any,4.2,60055,2545
school_vax_view,Colorado,2024-25,2024,medical,0.2,60055,92
school_vax_view,Colorado,2024-25,2024,non_medical,4.1,60055,2453
school_vax_view,Connecticut,2019-20,2019,any,2.5,38888,975
school_vax_view,Connecticut,2019-20,2019,medical,0.2,38888,84
school_vax_view,Connecticut,2019-20,2019,non_medical,2.3,38888,891
school_vax_view,Connecticut,2020-21,2020,any,2.6,34396,886
school_vax_view,Connecticut,2020-21,2020,medical,0.2,34396,83
school_vax_view,Connecticut,2020-21,2020,non_medical,2.3,34396,803
school_vax_view,Connecticut,2021-22,2021,any,2.3,35451,829
school_vax_view,Connecticut,2021-22,2021,medical,0.3,35451,102
school_vax_view,Connecticut,2021-22,2021,non_medical,2.1,35451,727
school_vax_view,Connecticut,2022-23,2022,any,0.8,35580,297
school_vax_view,Connecticut,2022-23,2022,medical,0.3,35580,112
school_vax_view,Connecticut,2022-23,2022,non_medical,0.5,35580,185
school_vax_view,Connecticut,2023-24,2023,any,0.5,36184,179
