"","vaccine","state_name","vaccine_coverage_estimate"
"1","Varicella","Oregon","93.9"
"2","Varicella","District of Columbia","91.3"
"3","Varicella","Kentucky","89.4"
"4","Varicella","New Mexico","94.4"
"5","Varicella","Pennsylvania","93.2"
"6","Varicella","North Carolina","93.3"
"7","Varicella","New York","97.1"
"8","Varicella","Utah","88.2"
"9","Varicella","Minnesota","87.2"
"10","Varicella","West Virginia","99.7"
"11","Varicella","Alaska","82.6"
"12","Varicella","Missouri","89.9"
"13","Varicella","Nevada","91.2"
"14","Varicella","Wyoming","93.5"
"15","Varicella","Idaho","79.1"
"16","Varicella","Vermont","92.5"
"17","Varicella","Michigan","91.7"
"18","Varicella","Maryland","96.2"
"19","Varicella","Louisiana","90.9"
"20","Varicella","Hawaii","89.1"
"21","Varicella","Tennessee","94.6"
"22","Varicella","Florida","88.1"
"23","Varicella","Indiana","90.3"
"24","Varicella","Kansas","89.5"
"25","Varicella","Washington","90.0"
"26","Varicella","North Dakota","90.7"
"27","Varicella","Illinois","91.1"
"28","Varicella","Colorado","87.3"
"29","Varicella","South Carolina","91.8"
"30","Varicella","California","95.7"
"31","Varicella","Delaware","93.8"
"32","Varicella","Texas","93.7"
"33","Varicella","Oklahoma","93.7"
"34","Varicella","Arizona","94.1"
"35","Varicella","Wisconsin","84.3"
"36","Varicella","Rhode Island","96.6"
"37","Varicella","Maine","97.1"
"38","Varicella","Connecticut","97.5"
"39","Varicella","Virginia","93.1"
"40","Varicella","Ohio","88.5"
"41","Varicella","Georgia","88.4"
"42","Varicella","Iowa","89.1"
"43","Varicella","South Dakota","90.3"
"44","Varicella","Nebraska","91.2"
"45","Varicella","New Hampshire","89.2"
"46","Varicella","Alabama","93.8"
"47","Varicella","Arkansas","92.0"
"48","Varicella","Mississippi","97.5"
"49","Varicella","New Jersey","93.2"
"50","Varicella","United States","92.4"
"51","Varicella","Massachusetts","95.7"
