"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"school_vax_view","Varicella","Alabama",2019,"school_year",86.6,NA,59477
"school_vax_view","Varicella","Alabama",2020,"school_year",94.7,NA,56974
"school_vax_view","Varicella","Alabama",2021,"school_year",94.9,NA,60332
"school_vax_view","Varicella","Alabama",2022,"school_year",93.9,NA,59113
"school_vax_view","Varicella","Alabama",2023,"school_year",93.8,NA,54565
"school_vax_view","Varicella","Alabama",2024,"school_year",98,NA,53589
"school_vax_view","Varicella","Alabama",2025,"school_year",97.6,NA,53378
"school_vax_view","Varicella","Alaska",2019,"school_year",NA,NA,10381
"school_vax_view","Varicella","Alaska",2020,"school_year",NA,NA,9461
"school_vax_view","Varicella","Alaska",2021,"school_year",76.1,NA,9790
"school_vax_view","Varicella","Alaska",2022,"school_year",81.8,NA,9650
"school_vax_view","Varicella","Alaska",2023,"school_year",82.6,NA,8644
"school_vax_view","Varicella","Alaska",2024,"school_year",79.6,NA,7338
"school_vax_view","Varicella","Alaska",2025,"school_year",87.9,NA,8253
"school_vax_view","Varicella","Arizona",2019,"school_year",95.3,NA,83976
"school_vax_view","Varicella","Arizona",2020,"school_year",95.5,NA,76382
"school_vax_view","Varicella","Arizona",2021,"school_year",94.6,NA,83463
"school_vax_view","Varicella","Arizona",2022,"school_year",94.1,NA,80814
"school_vax_view","Varicella","Arizona",2023,"school_year",94.1,NA,74834
"school_vax_view","Varicella","Arizona",2024,"school_year",93.4,NA,75024
"school_vax_view","Varicella","Arizona",2025,"school_year",92.3,NA,73907
"school_vax_view","Varicella","Arkansas",2019,"school_year",93.9,NA,39510
"school_vax_view","Varicella","Arkansas",2020,"school_year",92.8,NA,37540
"school_vax_view","Varicella","Arkansas",2021,"school_year",91.9,NA,39358
"school_vax_view","Varicella","Arkansas",2022,"school_year",91.1,NA,38358
"school_vax_view","Varicella","Arkansas",2023,"school_year",92,NA,37535
"school_vax_view","Varicella","Arkansas",2024,"school_year",89.2,NA,37570
"school_vax_view","Varicella","Arkansas",2025,"school_year",91.1,NA,35543
"school_vax_view","Varicella","California",2019,"school_year",96.1,NA,566155
"school_vax_view","Varicella","California",2020,"school_year",94.8,NA,498214
"school_vax_view","Varicella","California",2021,"school_year",96,NA,512144
"school_vax_view","Varicella","California",2022,"school_year",96.1,NA,541132
"school_vax_view","Varicella","California",2023,"school_year",95.7,NA,569680
"school_vax_view","Varicella","California",2024,"school_year",95.7,NA,590849
"school_vax_view","Varicella","California",2025,"school_year",95.4,NA,614405
"school_vax_view","Varicella","Colorado",2019,"school_year",90.1,NA,69088
"school_vax_view","Varicella","Colorado",2020,"school_year",89.4,NA,63619
"school_vax_view","Varicella","Colorado",2021,"school_year",87.6,NA,66900
"school_vax_view","Varicella","Colorado",2022,"school_year",85.9,NA,65576
"school_vax_view","Varicella","Colorado",2023,"school_year",87.3,NA,61662
"school_vax_view","Varicella","Colorado",2024,"school_year",86.8,NA,60055
"school_vax_view","Varicella","Colorado",2025,"school_year",86.7,NA,60049
"school_vax_view","Varicella","Connecticut",2019,"school_year",95.9,NA,38888
"school_vax_view","Varicella","Connecticut",2020,"school_year",95.1,NA,34396
"school_vax_view","Varicella","Connecticut",2021,"school_year",95.5,NA,35451
"school_vax_view","Varicella","Connecticut",2022,"school_year",97,NA,35580
"school_vax_view","Varicella","Connecticut",2023,"school_year",97.5,NA,36184
"school_vax_view","Varicella","Connecticut",2024,"school_year",98.1,NA,30112
"school_vax_view","Varicella","Connecticut",2025,"school_year",98.4,NA,33118
"school_vax_view","Varicella","Delaware",2019,"school_year",NA,NA,NA
"school_vax_view","Varicella","Delaware",2020,"school_year",95.3,NA,10587
"school_vax_view","Varicella","Delaware",2021,"school_year",95.7,NA,11181
"school_vax_view","Varicella","Delaware",2022,"school_year",94,NA,10674
"school_vax_view","Varicella","Delaware",2023,"school_year",93.8,NA,11043
"school_vax_view","Varicella","Delaware",2024,"school_year",93.6,NA,10393
"school_vax_view","Varicella","Delaware",2025,"school_year",92.9,NA,10729
"school_vax_view","Varicella","District of Columbia",2019,"school_year",NA,NA,NA
"school_vax_view","Varicella","District of Columbia",2020,"school_year",78,NA,8262
"school_vax_view","Varicella","District of Columbia",2021,"school_year",81,NA,8959
"school_vax_view","Varicella","District of Columbia",2022,"school_year",86.8,NA,8064
"school_vax_view","Varicella","District of Columbia",2023,"school_year",91.3,NA,7874
"school_vax_view","Varicella","District of Columbia",2024,"school_year",92.1,NA,7997
"school_vax_view","Varicella","District of Columbia",2025,"school_year",93.9,NA,7871
"school_vax_view","Varicella","Florida",2019,"school_year",93.5,NA,228298
"school_vax_view","Varicella","Florida",2020,"school_year",93.3,NA,207026
"school_vax_view","Varicella","Florida",2021,"school_year",91.7,NA,229432
"school_vax_view","Varicella","Florida",2022,"school_year",90.6,NA,230309
"school_vax_view","Varicella","Florida",2023,"school_year",88.1,NA,228213
"school_vax_view","Varicella","Florida",2024,"school_year",88.8,NA,221053
"school_vax_view","Varicella","Florida",2025,"school_year",88.9,NA,213535
"school_vax_view","Varicella","Georgia",2019,"school_year",93.1,NA,130102
"school_vax_view","Varicella","Georgia",2020,"school_year",88.5,NA,83191
"school_vax_view","Varicella","Georgia",2021,"school_year",83.2,NA,118742
"school_vax_view","Varicella","Georgia",2022,"school_year",88.1,NA,123771
"school_vax_view","Varicella","Georgia",2023,"school_year",88.4,NA,136943
"school_vax_view","Varicella","Georgia",2024,"school_year",86.8,NA,114568
"school_vax_view","Varicella","Georgia",2025,"school_year",89.1,NA,118864
"school_vax_view","Varicella","Hawaii",2019,"school_year",70.2,NA,15695
"school_vax_view","Varicella","Hawaii",2020,"school_year",87.2,NA,13074
"school_vax_view","Varicella","Hawaii",2021,"school_year",90.2,NA,13368
"school_vax_view","Varicella","Hawaii",2022,"school_year",84.4,NA,13195
"school_vax_view","Varicella","Hawaii",2023,"school_year",89.1,NA,13995
"school_vax_view","Varicella","Hawaii",2024,"school_year",89.7,NA,13804
"school_vax_view","Varicella","Hawaii",2025,"school_year",88.5,NA,13791
"school_vax_view","Varicella","Idaho",2019,"school_year",88.5,NA,23301
"school_vax_view","Varicella","Idaho",2020,"school_year",86.2,NA,22677
"school_vax_view","Varicella","Idaho",2021,"school_year",83.4,NA,23854
"school_vax_view","Varicella","Idaho",2022,"school_year",80.7,NA,23721
"school_vax_view","Varicella","Idaho",2023,"school_year",79.1,NA,22376
"school_vax_view","Varicella","Idaho",2024,"school_year",78.1,NA,22242
"school_vax_view","Varicella","Idaho",2025,"school_year",74.6,NA,21728
"school_vax_view","Varicella","Illinois",2019,"school_year",96.4,NA,145891
"school_vax_view","Varicella","Illinois",2020,"school_year",NA,NA,NA
"school_vax_view","Varicella","Illinois",2021,"school_year",91.8,NA,137699
"school_vax_view","Varicella","Illinois",2022,"school_year",91.3,NA,135332
"school_vax_view","Varicella","Illinois",2023,"school_year",91.1,NA,133578
"school_vax_view","Varicella","Illinois",2024,"school_year",91.3,NA,132769
"school_vax_view","Varicella","Illinois",2025,"school_year",92.4,NA,128598
"school_vax_view","Varicella","Indiana",2019,"school_year",94,NA,88253
"school_vax_view","Varicella","Indiana",2020,"school_year",92.8,NA,78694
"school_vax_view","Varicella","Indiana",2021,"school_year",91.7,NA,83198
"school_vax_view","Varicella","Indiana",2022,"school_year",91.6,NA,81307
"school_vax_view","Varicella","Indiana",2023,"school_year",90.3,NA,80639
"school_vax_view","Varicella","Indiana",2024,"school_year",90.3,NA,73744
"school_vax_view","Varicella","Indiana",2025,"school_year",89.5,NA,70886
"school_vax_view","Varicella","Iowa",2019,"school_year",93.2,NA,40812
"school_vax_view","Varicella","Iowa",2020,"school_year",93.4,NA,39141
"school_vax_view","Varicella","Iowa",2021,"school_year",90.6,NA,40111
"school_vax_view","Varicella","Iowa",2022,"school_year",89.9,NA,39178
"school_vax_view","Varicella","Iowa",2023,"school_year",89.1,NA,38611
"school_vax_view","Varicella","Iowa",2024,"school_year",88.8,NA,38268
"school_vax_view","Varicella","Iowa",2025,"school_year",88.9,NA,37490
"school_vax_view","Varicella","Kansas",2019,"school_year",89.1,NA,37865
"school_vax_view","Varicella","Kansas",2020,"school_year",91.8,NA,34687
"school_vax_view","Varicella","Kansas",2021,"school_year",90.2,NA,36526
"school_vax_view","Varicella","Kansas",2022,"school_year",90.8,NA,35543
"school_vax_view","Varicella","Kansas",2023,"school_year",89.5,NA,34178
"school_vax_view","Varicella","Kansas",2024,"school_year",89.4,NA,33892
"school_vax_view","Varicella","Kansas",2025,"school_year",NA,NA,NA
"school_vax_view","Varicella","Kentucky",2019,"school_year",92.5,NA,59233
"school_vax_view","Varicella","Kentucky",2020,"school_year",88.3,NA,59233
"school_vax_view","Varicella","Kentucky",2021,"school_year",85.6,NA,59233
"school_vax_view","Varicella","Kentucky",2022,"school_year",89.8,NA,54742
"school_vax_view","Varicella","Kentucky",2023,"school_year",89.4,NA,52609
"school_vax_view","Varicella","Kentucky",2024,"school_year",86.2,NA,51319
"school_vax_view","Varicella","Kentucky",2025,"school_year",90.7,NA,49937
"school_vax_view","Varicella","Louisiana",2019,"school_year",95,NA,59685
"school_vax_view","Varicella","Louisiana",2020,"school_year",93.2,NA,61912
"school_vax_view","Varicella","Louisiana",2021,"school_year",91.4,NA,66518
"school_vax_view","Varicella","Louisiana",2022,"school_year",93.6,NA,54314
"school_vax_view","Varicella","Louisiana",2023,"school_year",90.9,NA,51839
"school_vax_view","Varicella","Louisiana",2024,"school_year",92.2,NA,49229
"school_vax_view","Varicella","Louisiana",2025,"school_year",90,NA,50223
"school_vax_view","Varicella","Maine",2019,"school_year",96.2,NA,13450
"school_vax_view","Varicella","Maine",2020,"school_year",97,NA,13477
"school_vax_view","Varicella","Maine",2021,"school_year",95.5,NA,12881
"school_vax_view","Varicella","Maine",2022,"school_year",96.6,NA,12403
"school_vax_view","Varicella","Maine",2023,"school_year",97.1,NA,12087
"school_vax_view","Varicella","Maine",2024,"school_year",97.4,NA,11761
"school_vax_view","Varicella","Maine",2025,"school_year",97.8,NA,11634
"school_vax_view","Varicella","Maryland",2019,"school_year",97.5,NA,72443
"school_vax_view","Varicella","Maryland",2020,"school_year",87.3,NA,65764
"school_vax_view","Varicella","Maryland",2021,"school_year",92.7,NA,53866
"school_vax_view","Varicella","Maryland",2022,"school_year",96.6,NA,59684
"school_vax_view","Varicella","Maryland",2023,"school_year",96.2,NA,63224
"school_vax_view","Varicella","Maryland",2024,"school_year",96,NA,66135
"school_vax_view","Varicella","Maryland",2025,"school_year",96.3,NA,66945
"school_vax_view","Varicella","Massachusetts",2019,"school_year",97,NA,66756
"school_vax_view","Varicella","Massachusetts",2020,"school_year",95.4,NA,60724
"school_vax_view","Varicella","Massachusetts",2021,"school_year",95.7,NA,65582
"school_vax_view","Varicella","Massachusetts",2022,"school_year",96,NA,66041
"school_vax_view","Varicella","Massachusetts",2023,"school_year",95.7,NA,65424
"school_vax_view","Varicella","Massachusetts",2024,"school_year",96,NA,65581
"school_vax_view","Varicella","Massachusetts",2025,"school_year",96.2,NA,65331
"school_vax_view","Varicella","Michigan",2019,"school_year",94.4,NA,120565
"school_vax_view","Varicella","Michigan",2020,"school_year",94.2,NA,106657
"school_vax_view","Varicella","Michigan",2021,"school_year",93.6,NA,114251
"school_vax_view","Varicella","Michigan",2022,"school_year",92.9,NA,113678
"school_vax_view","Varicella","Michigan",2023,"school_year",91.7,NA,110156
"school_vax_view","Varicella","Michigan",2024,"school_year",91.3,NA,107636
"school_vax_view","Varicella","Michigan",2025,"school_year",90.6,NA,104614
"school_vax_view","Varicella","Minnesota",2019,"school_year",92,NA,71223
"school_vax_view","Varicella","Minnesota",2020,"school_year",89,NA,66007
"school_vax_view","Varicella","Minnesota",2021,"school_year",88.7,NA,69403
"school_vax_view","Varicella","Minnesota",2022,"school_year",87.9,NA,68152
"school_vax_view","Varicella","Minnesota",2023,"school_year",87.2,NA,66032
"school_vax_view","Varicella","Minnesota",2024,"school_year",86.7,NA,64898
"school_vax_view","Varicella","Minnesota",2025,"school_year",86.2,NA,63451
"school_vax_view","Varicella","Mississippi",2019,"school_year",99.1,NA,37870
"school_vax_view","Varicella","Mississippi",2020,"school_year",98.9,NA,34028
"school_vax_view","Varicella","Mississippi",2021,"school_year",98.6,NA,36524
"school_vax_view","Varicella","Mississippi",2022,"school_year",98.4,NA,36048
"school_vax_view","Varicella","Mississippi",2023,"school_year",97.5,NA,36105
"school_vax_view","Varicella","Mississippi",2024,"school_year",97.6,NA,35293
"school_vax_view","Varicella","Mississippi",2025,"school_year",97,NA,34969
"school_vax_view","Varicella","Missouri",2019,"school_year",94.2,NA,72324
"school_vax_view","Varicella","Missouri",2020,"school_year",92.1,NA,63093
"school_vax_view","Varicella","Missouri",2021,"school_year",91.2,NA,71034
"school_vax_view","Varicella","Missouri",2022,"school_year",90.8,NA,69126
"school_vax_view","Varicella","Missouri",2023,"school_year",89.9,NA,69014
"school_vax_view","Varicella","Missouri",2024,"school_year",89.5,NA,68163
"school_vax_view","Varicella","Missouri",2025,"school_year",89,NA,66610
"school_vax_view","Varicella","Montana",2019,"school_year",93.2,NA,12501
"school_vax_view","Varicella","Montana",2020,"school_year",91.9,NA,11279
"school_vax_view","Varicella","Nebraska",2019,"school_year",95.6,NA,26893
"school_vax_view","Varicella","Nebraska",2020,"school_year",95.1,NA,25681
"school_vax_view","Varicella","Nebraska",2021,"school_year",95.5,NA,25018
"school_vax_view","Varicella","Nebraska",2022,"school_year",94.9,NA,23176
"school_vax_view","Varicella","Nebraska",2023,"school_year",91.2,NA,23118
"school_vax_view","Varicella","Nebraska",2024,"school_year",93.8,NA,24102
"school_vax_view","Varicella","Nebraska",2025,"school_year",92.8,NA,23807
