"","state_fips_code","state_name","age_group_population","age_group","age_group_length"
"1","01","Alabama",1271803,"0-19 years",20
"2","02","Alaska",195972,"0-19 years",20
"3","04","Arizona",1788801,"0-19 years",20
"4","05","Arkansas",787704,"0-19 years",20
"5","06","California",9754759,"0-19 years",20
"6","08","Colorado",1392163,"0-19 years",20
"7","09","Connecticut",832072,"0-19 years",20
"8","10","Delaware",236889,"0-19 years",20
"9","11","District of Columbia",143120,"0-19 years",20
"10","12","Florida",4809147,"0-19 years",20
"11","13","Georgia",2842960,"0-19 years",20
"12","15","Hawaii",330996,"0-19 years",20
"13","16","Idaho",523897,"0-19 years",20
"14","17","Illinois",3136309,"0-19 years",20
"15","18","Indiana",1786105,"0-19 years",20
"16","19","Iowa",830048,"0-19 years",20
"17","20","Kansas",790564,"0-19 years",20
"18","21","Kentucky",1136235,"0-19 years",20
"19","22","Louisiana",1205777,"0-19 years",20
"20","23","Maine",285189,"0-19 years",20
"21","24","Maryland",1530338,"0-19 years",20
"22","25","Massachusetts",1573179,"0-19 years",20
"23","26","Michigan",2416539,"0-19 years",20
"24","27","Minnesota",1462709,"0-19 years",20
"25","28","Mississippi",780019,"0-19 years",20
"26","29","Missouri",1547870,"0-19 years",20
"27","30","Montana",261675,"0-19 years",20
"28","31","Nebraska",539381,"0-19 years",20
"29","32","Nevada",761750,"0-19 years",20
"30","33","New Hampshire",293088,"0-19 years",20
"31","34","New Jersey",2253316,"0-19 years",20
"32","35","New Mexico",523974,"0-19 years",20
"33","36","New York",4619107,"0-19 years",20
"34","37","North Carolina",2617254,"0-19 years",20
"35","38","North Dakota",208669,"0-19 years",20
"36","39","Ohio",2914752,"0-19 years",20
"37","40","Oklahoma",1074579,"0-19 years",20
"38","41","Oregon",957418,"0-19 years",20
"39","42","Pennsylvania",3033705,"0-19 years",20
"40","44","Rhode Island",243511,"0-19 years",20
"41","45","South Carolina",1270532,"0-19 years",20
"42","46","South Dakota",243993,"0-19 years",20
"43","47","Tennessee",1729330,"0-19 years",20
"44","48","Texas",8313623,"0-19 years",20
"45","49","Utah",1049565,"0-19 years",20
"46","50","Vermont",138375,"0-19 years",20
"47","51","Virginia",2133921,"0-19 years",20
"48","53","Washington",1854050,"0-19 years",20
"49","54","West Virginia",404910,"0-19 years",20
"50","55","Wisconsin",1431006,"0-19 years",20
"51","56","Wyoming",147293,"0-19 years",20
"52","72","Puerto Rico",625368,"0-19 years",20
"53","1","United States",82409941,"0-19 years",20
