"state_fips_code","state_name","age_group","age_group_population"
"01","Alabama","0-1mo",9813.9
"01","Alabama","2-3mo",9813.9
"01","Alabama","4-5mo",9813.9
"01","Alabama","6-7mo",9813.9
"01","Alabama","8-11mo",19627.8
"01","Alabama","12-19mo",39255.6
"01","Alabama","20mo-4y",196278
"01","Alabama","5-17y",833584
"01","Alabama","18-49y",2057609
"01","Alabama","50-59y",644311
"01","Alabama","60-64y",340122
"01","Alabama","65-74y",532135
"01","Alabama","75+y",352075
"02","Alaska","0-1mo",1594.16666666667
"02","Alaska","2-3mo",1594.16666666667
"02","Alaska","4-5mo",1594.16666666667
"02","Alaska","6-7mo",1594.16666666667
"02","Alaska","8-11mo",3188.33333333333
"02","Alaska","12-19mo",6376.66666666667
"02","Alaska","20mo-4y",31883.3333333333
"02","Alaska","5-17y",130633
"02","Alaska","18-49y",325324
"02","Alaska","50-59y",86499
"02","Alaska","60-64y",45875
"02","Alaska","65-74y",65956
"02","Alaska","75+y",31859
"04","Arizona","0-1mo",13316.6333333333
"04","Arizona","2-3mo",13316.6333333333
"04","Arizona","4-5mo",13316.6333333333
"04","Arizona","6-7mo",13316.6333333333
"04","Arizona","8-11mo",26633.2666666667
"04","Arizona","12-19mo",53266.5333333333
"04","Arizona","20mo-4y",266332.666666667
"04","Arizona","5-17y",1195281
"04","Arizona","18-49y",3016728
"04","Arizona","50-59y",858866
"04","Arizona","60-64y",447867
"04","Arizona","65-74y",779001
"04","Arizona","75+y",570933
"05","Arkansas","0-1mo",6081.26666666667
"05","Arkansas","2-3mo",6081.26666666667
"05","Arkansas","4-5mo",6081.26666666667
"05","Arkansas","6-7mo",6081.26666666666
"05","Arkansas","8-11mo",12162.5333333333
"05","Arkansas","12-19mo",24325.0666666667
"05","Arkansas","20mo-4y",121625.333333333
"05","Arkansas","5-17y",523441
"05","Arkansas","18-49y",1237586
"05","Arkansas","50-59y",369899
"05","Arkansas","60-64y",193643
"05","Arkansas","65-74y",309671
"05","Arkansas","75+y",215973
"06","California","0-1mo",73804.7
"06","California","2-3mo",73804.7
"06","California","4-5mo",73804.7
"06","California","6-7mo",73804.7
"06","California","8-11mo",147609.4
"06","California","12-19mo",295218.8
"06","California","20mo-4y",1476094
"06","California","5-17y",6514871
"06","California","18-49y",17261350
"06","California","50-59y",4928287
