"state_fips_code","state_name","age_group_population","age_group"
"01","Alabama",294417,"0-4"
"02","Alaska",47825,"0-4"
"04","Arizona",399499,"0-4"
"05","Arkansas",182438,"0-4"
"06","California",2214141,"0-4"
"08","Colorado",315470,"0-4"
"09","Connecticut",181240,"0-4"
"10","Delaware",54545,"0-4"
"11","District of Columbia",40916,"0-4"
"12","Florida",1114328,"0-4"
"13","Georgia",639111,"0-4"
"15","Hawaii",82021,"0-4"
"16","Idaho",113266,"0-4"
"17","Illinois",708630,"0-4"
"18","Indiana",411823,"0-4"
"19","Iowa",188580,"0-4"
"20","Kansas",179460,"0-4"
"21","Kentucky",267363,"0-4"
"22","Louisiana",289071,"0-4"
"23","Maine",62915,"0-4"
"24","Maryland",359340,"0-4"
"25","Massachusetts",350335,"0-4"
"26","Michigan",549541,"0-4"
"27","Minnesota",339105,"0-4"
"28","Mississippi",177145,"0-4"
"29","Missouri",359915,"0-4"
"30","Montana",58832,"0-4"
"31","Nebraska",127005,"0-4"
"32","Nevada",176957,"0-4"
"33","New Hampshire",63205,"0-4"
"34","New Jersey",526400,"0-4"
"35","New Mexico",112949,"0-4"
"36","New York",1102961,"0-4"
"37","North Carolina",598313,"0-4"
"38","North Dakota",51372,"0-4"
"39","Ohio",675616,"0-4"
"40","Oklahoma",247646,"0-4"
"41","Oregon",212485,"0-4"
"42","Pennsylvania",685379,"0-4"
"44","Rhode Island",53813,"0-4"
"45","South Carolina",287868,"0-4"
"46","South Dakota",58121,"0-4"
"47","Tennessee",409675,"0-4"
"48","Texas",1928242,"0-4"
"49","Utah",238146,"0-4"
"50","Vermont",28053,"0-4"
"51","Virginia",495281,"0-4"
"53","Washington",437433,"0-4"
"54","West Virginia",89308,"0-4"
"55","Wisconsin",320451,"0-4"
"56","Wyoming",31948,"0-4"
"72","Puerto Rico",107055,"0-4"
"1","United States",18939899,"0-4"
"01","Alabama",833584,"5-17"
"02","Alaska",130633,"5-17"
"04","Arizona",1195281,"5-17"
"05","Arkansas",523441,"5-17"
"06","California",6514871,"5-17"
"08","Colorado",925412,"5-17"
"09","Connecticut",552758,"5-17"
"10","Delaware",155851,"5-17"
"11","District of Columbia",84759,"5-17"
"12","Florida",3191038,"5-17"
"13","Georgia",1902961,"5-17"
"15","Hawaii",219451,"5-17"
"16","Idaho",349901,"5-17"
"17","Illinois",2100249,"5-17"
"18","Indiana",1184248,"5-17"
"19","Iowa",547999,"5-17"
"20","Kansas",525361,"5-17"
"21","Kentucky",755383,"5-17"
"22","Louisiana",799592,"5-17"
"23","Maine",188967,"5-17"
"24","Maryland",1016596,"5-17"
"25","Massachusetts",1018073,"5-17"
"26","Michigan",1605252,"5-17"
"27","Minnesota",978154,"5-17"
"28","Mississippi",515190,"5-17"
"29","Missouri",1026656,"5-17"
"30","Montana",176110,"5-17"
"31","Nebraska",357745,"5-17"
"32","Nevada",515914,"5-17"
"33","New Hampshire",193701,"5-17"
"34","New Jersey",1504922,"5-17"
"35","New Mexico",353668,"5-17"
