state,mode_of_action,reduced_reliance_acip,alternative_bodies,vaccines_impacted,action_expiration,source_url,cost_sharing_prohibited,basis_of_coverage_mandate,pharmacist_vax_authority,min_age_pharmacist_vax,exemptions_allowed,governor_party,legislative_control_party,session_convene,session_adjourn,has_source_link,source_year,source_tracker_url
Alabama,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,19+ for ACIP-recommended vaccines. No min age for other vaccines per collaborative practice agreement or prescription.,Religious and medical exemptions,Republican,Republican,01/13/2026,04/27/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Alaska,Statement,Yes,,Hep B,,https://alaskapublic.org/news/health/2025-12-30/alaska-sticks-with-universal-hepatitis-b-vaccine-despite-federal-update,ACIP-Recommended,ACIP-recommended,Independent Authority,Pharmacist can independently prescribe and administer vaccines for all ages.,Allows religious and medical exemptions,Republican,Republican,01/20/2026,05/20/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Arizona,Standing Order,Yes,"AAP, ACOG, AAFP",COVID-19,09/17/2026,https://www.azdhs.gov/covid19/documents/2025/arizona-standing-order-for-covid-19-vaccine.pdf?v=20250919,ACIP-Recommended,ACIP-Recommended,Independent Authority,"Pharmacists can adminsiter influenza vaccines for children age 3 or older. All ACIP recommended vaccines may be administered to children 6 or older. Vaccines recommended for international travel may be administered to individuals 18 and older. Lastly, pharmacists may prescribe and administer for children age 3 or older.","Allows religious, personal belief and medical exemptions",Democratic,Republican,01/12/2026,04/25/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Arizona,Statement,,,Hep B,,https://directorsblog.health.azdhs.gov/newborns-receive-hepatitis-b-vaccine-at-birth-for-good-reason/,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Arkansas,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists can adiminster vaccines and prescibe to children age 3 and older,"Allows religious, personal belief and medical exemptions",Republican,Republican,04/08/2026,05/07/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
California,Legislation,Yes,"AAP, ACOG, AAFP",All,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB144#:~:text=SEC.%2026.%C2%A0Section%20120164%20is%20added%20to%20the%20Health%20and%20Safety%20Code%2C%20to%20read%3A,Includes Non-ACIP,"Jan 1, 2025 Federal Baseline (ACIP, USPSTF, HRSA), CDPH Recommendations, AAP, ACOG, AAFP Clinical Guidelines",Independent Authority,Pharmacists in California can independently prescribe and administer all ACIP-recommended vaccines to individuals aged 3 and older. They may also administer vaccines to all ages under a physician-approved protocol.,"No exemptions allowed, unless medical",Democratic,Democratic,01/05/2026,08/31/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
California,Vaccine Guidance,,AAP,Childhood Vaccines,,https://www.dhs.wisconsin.gov/dph/memos/communicable-diseases/bcd-2026-01.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Colorado,Legislation,Yes,"AAP, ACOG, AAFP",All,,https://content.leg.colorado.gov/sites/default/files/2025a_1027_signed.pdf,Includes Non-ACIP,"Previous ACIP recommendations (January 1, 2025)",Collaborative Authority,Pharmacists in Colorado may administer all vaccines to individuals of any age. This must be done under a collaborative practice agreement or a physician-approved protocol.,"Allows religious, personal belief and medical exemptions",Democratic,Democratic,01/14/2026,05/13/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Colorado,Legislation,,"AAP, ACOG, AAFP",All,,https://leg.colorado.gov/bills/SB26-032,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Connecticut,Interim Guidance,Yes,"AAP, ACOG, AAFP",COVID-19,12/31/2026,https://portal.ct.gov/dph/-/media/immunization/provider-page/pdfs/cvp/connecticut-covid-19-updates-and-interim-guidance.pdf?rev=b44120be7ea0432c9b928e5802def055&hash=9C87DDD2E7529FC347F048CB202A7F0C,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG) and ACIP",Independent Authority,Pharmacists in Connecticut can independently prescribe and administer CDC Adult Immunization Schedule vaccines for individuals 12+ and additional vaccines listed on the CDC’s website for those 18+. They may also administer vaccines to all ages with a patient-specific prescription.,"No exemptions allowed, unless medical",Democratic,Democratic,02/04/2026,05/06/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
