Year,Hib,Non-b serotypes,Nontypeable
1989,3.30,0.12,0.69
1990,2.08,0.21,0.73
1991,1.41,0.17,0.33
1992,0.54,0.09,0.43
1993,0.15,0.15,0.52
1994,0.14,0.28,0.59
1995,0.21,0.14,1.02
1996,0.14,0.26,0.73
1997,0.17,0.25,0.65
1998,0.09,0.30,0.80
1999,0.09,0.18,0.81
2000,0.06,0.25,0.71
2001,0.04,0.28,0.75
2002,0.02,0.44,0.89
2003,0.04,0.32,0.92
2004,0.05,0.39,1.00
2005,0.04,0.40,0.98
2006,0.04,0.42,1.15
2007,0.03,0.45,1.09
2008,0.04,0.46,1.08
2009,0.02,0.43,1.17
2010,0.04,0.48,1.13
2011,0.03,0.42,1.21
2012,0.02,0.47,1.17
2013,0.03,0.46,1.25
2014,0.03,0.42,1.19
2015,0.02,0.47,1.40
2016,0.03,0.48,1.48
2017,0.02,0.59,1.71
2018,0.03,0.50,1.57
2019,0.04,0.58,1.56
2020,0.02,0.24,0.87
2021,0.04,0.25,0.61
2022,0.03,0.36,1.40
2023,0.03,0.43,1.92
2024,0.03,0.54,1.80
