"vaccine","state_name","observed_coverage_estimate","predicted_coverage_estimate","vaccine_coverage_estimate","coverage_source","prediction_lower_80","prediction_upper_80","prediction_lower_95","prediction_upper_95","prediction_model","predictor_values_imputed"
"nirsevimab","Alabama",33.7647141010863,39.6873149970921,33.7647141010863,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Alaska",NA,42.867876672692,42.867876672692,"predicted",31.7513412215574,53.81388180338,28.6251088189625,56.9269661624983,"knn7",FALSE
"nirsevimab","Arizona",NA,40.9154425555271,40.9154425555271,"predicted",29.7989071043925,51.8614476862151,26.6726747017976,54.9745320453334,"knn7",FALSE
"nirsevimab","Arkansas",43.0351695159155,42.3942236785899,43.0351695159155,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","California",42.7176028404617,41.732769282852,42.7176028404617,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Colorado",NA,40.9737237135599,40.9737237135599,"predicted",29.8571882624254,51.919728844248,26.7309558598305,55.0328132033663,"knn7",FALSE
"nirsevimab","Connecticut",NA,43.5766350407114,43.5766350407114,"predicted",32.4600995895768,54.5226401713994,29.3338671869819,57.6357245305177,"knn7",FALSE
"nirsevimab","Delaware",NA,43.3183779055368,43.3183779055368,"predicted",32.2018424544023,54.2643830362249,29.0756100518074,57.3774673953432,"knn7",FALSE
"nirsevimab","Florida",29.1249576218261,39.8338109143076,29.1249576218261,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Georgia",35.7256842257203,41.6037535131559,35.7256842257203,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Hawaii",NA,41.5732126596037,41.5732126596037,"predicted",30.4566772084692,52.5192177902918,27.3304448058743,55.6323021494101,"knn7",FALSE
"nirsevimab","Idaho",NA,41.493552578175,41.493552578175,"predicted",30.3770171270404,52.4395577088631,27.2507847244456,55.5526420679814,"knn7",FALSE
"nirsevimab","Illinois",NA,38.0270898046434,38.0270898046434,"predicted",26.9105543535088,48.9730949353314,23.784321950914,52.0861792944498,"knn7",FALSE
"nirsevimab","Indiana",46.0771520871603,41.6037535131559,46.0771520871603,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Iowa",41.4727613586237,41.4352714201422,41.4727613586237,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Kansas",NA,40.5700241021793,40.5700241021793,"predicted",29.4534886510448,51.5160292328674,26.3272562484499,54.6291135919857,"knn7",TRUE
"nirsevimab","Kentucky",42.2441679034897,41.9800412938723,42.2441679034897,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Louisiana",45.8829699557953,39.8338109143076,45.8829699557953,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Maine",NA,40.8874324669014,40.8874324669014,"predicted",29.7708970157668,51.8334375975895,26.644664613172,54.9465219567078,"knn7",FALSE
"nirsevimab","Maryland",NA,41.8717537095288,41.8717537095288,"predicted",30.7552182583942,52.8177588402168,27.6289858557993,55.9308431993351,"knn7",FALSE
"nirsevimab","Massachusetts",NA,42.6691965989009,42.6691965989009,"predicted",31.5526611477663,53.615201729589,28.4264287451715,56.7282860887073,"knn7",FALSE
"nirsevimab","Michigan",NA,38.9282694278,38.9282694278,"predicted",27.8117339766654,49.8742745584881,24.6855015740706,52.9873589176064,"knn7",FALSE
"nirsevimab","Minnesota",NA,42.1484327754741,42.1484327754741,"predicted",31.0318973243395,53.0944379061621,27.9056649217446,56.2075222652804,"knn7",FALSE
"nirsevimab","Mississippi",39.8981883515496,41.3137323548711,39.8981883515496,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Missouri",38.3089832475377,43.3677254755555,38.3089832475377,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Montana",31.7589720868409,40.9154425555271,31.7589720868409,"observed",NA,NA,NA,NA,NA,TRUE
"nirsevimab","Nebraska",NA,42.9014655738003,42.9014655738003,"predicted",31.7849301226657,53.8474707044883,28.6586977200708,56.9605550636066,"knn7",FALSE
"nirsevimab","Nevada",NA,42.1789736290262,42.1789736290262,"predicted",31.0624381778916,53.1249787597143,27.9362057752968,56.2380631188326,"knn7",FALSE
