"state_name","hep_b_birth","birth_cohort","data_source"
"Wyoming",76.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Utah",80.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Vermont",84.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Virginia",80.1,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Washington",77.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"West Virginia",80,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Wisconsin",86.7,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Pennsylvania",84.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Rhode Island",92.4,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"South Carolina",78.4,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"South Dakota",85.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Tennessee",69.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Texas",76.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"New York",73.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"North Carolina",70.1,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"North Dakota",84.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Ohio",84.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Oklahoma",79.7,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Oregon",84.6,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Montana",87.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Nebraska",86.2,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Nevada",78,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"New Hampshire",79.6,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"New Jersey",81.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"New Mexico",80.4,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Maryland",81.2,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Massachusetts",90.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Michigan",78.6,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Minnesota",87.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Mississippi",77,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Missouri",82.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Indiana",79.7,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Iowa",84.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Kansas",81.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Kentucky",82.1,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Louisiana",76.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Maine",79.9,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"District of Columbia",79.9,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Florida",74.9,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Georgia",78.1,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Hawaii",84.4,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Idaho",77.9,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Illinois",79.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Arizona",85.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Arkansas",90.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"California",74.5,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Colorado",83.8,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Connecticut",92.4,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Delaware",86.3,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Alabama",80.1,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"Alaska",76.2,2022,"cached Child VaxView: cdc_child_vax_view.rds"
"United States",79,2022,"cached Child VaxView: cdc_child_vax_view.rds"
