jurisdiction,vaccine,setting,required,required_bool,doses_required,grades_included,age_or_grade,population_subject,type_of_institution,year_first_implemented,historical_note,comment,note_1dose,note_dose_age16,source_year,source_url
Alabama,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arkansas,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arkansas,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
California,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
California,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Colorado,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Colorado,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Connecticut,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Connecticut,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Delaware,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Delaware,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
District of Columbia,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
District of Columbia,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Florida,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Florida,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Georgia,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Georgia,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Hawaii,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Hawaii,Polio,School,yes,True,3–4,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Idaho,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Idaho,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Illinois,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Illinois,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Indiana,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Indiana,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Iowa,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Iowa,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Kansas,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Kansas,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Kentucky,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Kentucky,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Louisiana,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Louisiana,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Maine,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Maine,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Maryland,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Maryland,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Massachusetts,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Massachusetts,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Michigan,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Michigan,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Minnesota,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Minnesota,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Mississippi,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Mississippi,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Missouri,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Missouri,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Montana,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Montana,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Nebraska,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Nebraska,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Nevada,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Nevada,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Hampshire,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Hampshire,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Jersey,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Jersey,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Mexico,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New Mexico,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New York,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
New York,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
North Carolina,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
North Carolina,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
North Dakota,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
North Dakota,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Ohio,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Ohio,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Oklahoma,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Oklahoma,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Oregon,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Oregon,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Pennsylvania,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Pennsylvania,Polio,School,yes,True,3–4,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Rhode Island,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Rhode Island,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
South Carolina,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
South Carolina,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
South Dakota,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
South Dakota,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Tennessee,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Tennessee,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Texas,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Texas,Polio,School,yes,True,3–4,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Utah,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Utah,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Vermont,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Vermont,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Virginia,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Virginia,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Washington,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Washington,Polio,School,yes,True,3–4,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
West Virginia,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
West Virginia,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Wisconsin,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Wisconsin,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Wyoming,Polio,Childcare,yes,True,age-appropriate,,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Wyoming,Polio,School,yes,True,age-appropriate,K–12,,,,longstanding,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Varicella,Childcare,yes,True,1,,,,,2000,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
Alabama,Varicella,School,yes,True,1–2,K–12,,,,2001,,2 doses required if dose 1 given at age 13 or older,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
Alaska,Varicella,Childcare,yes,True,1,,,,,2001,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
Alaska,Varicella,School,yes,True,2,K–6,,,,2009,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
Arizona,Varicella,Childcare,yes,True,1,,,,,2005,,,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
Arizona,Varicella,School,yes,True,1–2,K–12,,,,2005,,2 doses required if dose 1 given at age 13 or older,,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/varicella-child-school-2025/
