jurisdiction,vaccine,setting,field,value,source_year,source_url
Alabama,Polio,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,Childcare,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,School,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,School,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,School,grades_included,K–12,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alabama,Polio,School,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,Childcare,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,School,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,School,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,School,grades_included,K–12,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Alaska,Polio,School,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,Childcare,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,School,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,School,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,School,grades_included,K–12,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arizona,Polio,School,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arkansas,Polio,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
Arkansas,Polio,Childcare,doses_required,age-appropriate,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/polio-child-school-2025/
