"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Alabama","2019-20",2019,59477,1.2,0.1,1.1,713,63,650
"school_vax_view","Alabama","2020-21",2020,56974,1.3,0.1,1.1,719,66,653
"school_vax_view","Alabama","2021-22",2021,60332,1.7,0.2,1.5,1005,93,912
"school_vax_view","Alabama","2022-23",2022,59113,2,0.1,1.9,1180,79,1101
"school_vax_view","Alabama","2023-24",2023,54565,2.2,0.1,2.1,1188,44,1144
"school_vax_view","Alabama","2024-25",2024,53589,2.3,0.1,2.2,1214,44,1169
"school_vax_view","Alaska","2019-20",2019,10381,5.9,0.5,5.4,608,51,557
"school_vax_view","Alaska","2020-21",2020,9461,4,0.2,3.8,375,21,354
"school_vax_view","Alaska","2021-22",2021,9790,4.6,0.5,4.1,446,45,401
"school_vax_view","Alaska","2022-23",2022,9650,5.7,0.7,5,550,72,478
"school_vax_view","Alaska","2023-24",2023,8644,9.5,0.3,9.2,821,27,794
"school_vax_view","Alaska","2024-25",2024,7338,9.4,0.4,9,686,26,660
"school_vax_view","Arizona","2019-20",2019,83976,5.5,0.2,5.4,4638,144,4494
"school_vax_view","Arizona","2020-21",2020,76382,5.5,0.1,5.4,4211,72,4139
"school_vax_view","Arizona","2021-22",2021,83463,6.8,0.4,6.5,5707,302,5405
"school_vax_view","Arizona","2022-23",2022,80814,7.4,0.1,7.4,6009,64,5944
"school_vax_view","Arizona","2023-24",2023,74834,8.5,0.4,8.1,6383,305,6078
"school_vax_view","Arizona","2024-25",2024,75024,9.1,0.1,9,6852,68,6784
"school_vax_view","Arkansas","2019-20",2019,39510,1.9,0.1,1.9,769,15,753
"school_vax_view","Arkansas","2020-21",2020,37540,2,0.1,1.9,735,14,721
"school_vax_view","Arkansas","2021-22",2021,39358,2.5,0,2.5,1000,12,988
"school_vax_view","Arkansas","2022-23",2022,38358,3.1,0.1,3,1182,23,1159
"school_vax_view","Arkansas","2023-24",2023,37535,3.5,0.1,3.4,1299,10,1289
"school_vax_view","Arkansas","2024-25",2024,37570,3.6,0.1,3.5,1337,13,1324
"school_vax_view","California","2019-20",2019,566155,0.8,0.8,NA,4249,4249,NA
"school_vax_view","California","2020-21",2020,498214,0.5,0.5,NA,2391,2391,NA
"school_vax_view","California","2021-22",2021,512144,0.2,0.3,NA,948,1383,NA
"school_vax_view","California","2022-23",2022,541132,0.2,0.2,NA,1036,1036,NA
"school_vax_view","California","2023-24",2023,569680,0.1,0.1,NA,648,648,NA
"school_vax_view","California","2024-25",2024,590849,0.1,0.1,NA,492,492,NA
"school_vax_view","Colorado","2019-20",2019,69088,4.9,0.2,4.7,3376,121,3254
"school_vax_view","Colorado","2020-21",2020,63619,4.2,0.2,4,2643,98,2545
"school_vax_view","Colorado","2021-22",2021,66900,3.2,0.1,3,2123,87,2036
"school_vax_view","Colorado","2022-23",2022,65576,4.3,0.3,4,2818,197,2621
"school_vax_view","Colorado","2023-24",2023,61662,4.2,0.2,4,2584,105,2479
"school_vax_view","Colorado","2024-25",2024,60055,4.2,0.2,4.1,2545,92,2453
"school_vax_view","Connecticut","2019-20",2019,38888,2.5,0.2,2.3,975,84,891
"school_vax_view","Connecticut","2020-21",2020,34396,2.6,0.2,2.3,886,83,803
"school_vax_view","Connecticut","2021-22",2021,35451,2.3,0.3,2.1,829,102,727
"school_vax_view","Connecticut","2022-23",2022,35580,0.8,0.3,0.5,297,112,185
"school_vax_view","Connecticut","2023-24",2023,36184,0.5,0.4,0.1,179,128,51
"school_vax_view","Connecticut","2024-25",2024,30112,0.4,0.4,0.1,126,120,6
"school_vax_view","Delaware","2019-20",2019,NA,NA,NA,NA,NA,NA,NA
"school_vax_view","Delaware","2020-21",2020,10587,2.4,0.1,2.4,256,4,253
"school_vax_view","Delaware","2021-22",2021,11181,1.2,0.1,1.2,143,9,134
"school_vax_view","Delaware","2022-23",2022,10674,2.1,0.1,2,250,15,235
"school_vax_view","Delaware","2023-24",2023,11043,2.5,0.1,2.4,274,8,267
"school_vax_view","Delaware","2024-25",2024,10393,2.6,0.1,2.6,275,1,273
"school_vax_view","District of Columbia","2019-20",2019,NA,NA,NA,NA,NA,NA,NA
