jurisdiction,medical,religious,personal_belief,nonmedical_any,comment,source_year,source_url
Alabama,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Alaska,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Arizona,True,True,True,True,religious: childcare only personal belief: K–12 only,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Arkansas,True,True,True,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
California,True,False,False,False,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Colorado,True,True,True,True,"religious and personal belief combined under category of ""nonmedical exemption""",2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Connecticut,True,False,False,False,"religious exemption repealed in 2021, but students enrolled in K–12 with valid exemption on file when law passed (April 28, 2020) allowed to maintain exemption through Gr 12",2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Delaware,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
District of Columbia,True,True,True,True,personal belief: allowed for HPV only,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Florida,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Georgia,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Hawaii,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Idaho,True,True,True,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Illinois,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Indiana,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Iowa,True,True,False,True,"requirement for notary signature for religious exemption removed July 1, 2024",2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Kansas,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Kentucky,True,True,False,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
Louisiana,True,True,True,True,,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2025/
