"","disease","state_name","age_group","age_group_population","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"1","Hib","Alabama","All ages",5054253,0,1,"1 Year",0.878,2.22256625516267,0,0.0439741788779207,0,2.11143794240454,0,0.0417754699340247,0,0.0889026502065069,0,0.00175896715511683,0,22.2256625516267,0,0.439741788779207,0,5556.41563790668,0,109.935447194802,0,63721.9302390035,0,1260.7586173269,0,69278.3458769102,0,1370.69406452171,0,0.0516996252,0.0010228934958341,0,0
"2","Hib","Alabama","All ages",5054253,0,5,"5 Years",0.878,2.22350931980092,0,0.0439928377111498,0,2.11233385381087,0,0.0417931958255923,0,0.0889403727920368,0,0.00175971350844599,0,22.2350931980092,0,0.439928377111498,0,5558.7732995023,0,109.982094277874,0,63748.9683076999,0,1261.29357409888,0,69307.7416072022,0,1371.27566837675,0,0.0516996252,0.0010228934958341,0,0
"3","Hib","Alabama","All ages",5054253,0,10,"10 Years",0.878,2.22350828583825,0,0.0439928172538702,0,2.11233287154634,0,0.0417931763911767,0,0.08894033143353,0,0.00175971269015481,0,22.2350828583825,0,0.439928172538702,0,5558.77071459563,0,109.982043134675,0,63748.9386635456,0,1261.29298757988,0,69307.7093781412,0,1371.27503071455,0,0.0516996252,0.0010228934958341,0,0
"4","Hib","Alabama","All ages",5054253,0,20,"20 Years",0.878,2.22350741002188,0,0.0439927999255653,0,2.11233203952079,0,0.041793159929287,0,0.0889402964008752,0,0.00175971199702261,0,22.2350741002188,0,0.439927999255653,0,5558.7685250547,0,109.981999813913,0,63748.9135535136,0,1261.29249076992,0,69307.6820785683,0,1371.27449058384,0,0.0516996252,0.0010228934958341,0,0
"5","Hib","Alabama","All ages",5054253,1,1,"1 Year",0.878,2.22614913556151,0.00358288039884122,0.0440450673039421,7.08884260214363e-05,2.11484167878344,0.00340373637889915,0.041842813938745,6.73440047203643e-05,0.0890459654224605,0.000143315215953649,0.00176180269215768,2.83553704085745e-06,22.2614913556151,0.0358288039884119,0.440450673039421,0.000708884260214356,5565.37283890378,8.95720099710297,110.112668259855,0.177221065053589,63824.6529606769,102.722721673353,1262.79101898296,2.03240165605783,69390.0257995807,111.679922670456,1372.90368724282,2.20962272111142,0.0511107912,0.00101124322822779,0.000588834000000003,1.1650267606311e-05
"6","Hib","Alabama","All ages",5054253,1,5,"5 Years",0.878,2.25207119892788,0.0285618791269625,0.0445579435562067,0.000565105845056876,2.13946763898149,0.0271337851706144,0.0423300463783963,0.000536850552804033,0.0900828479571153,0.0011424751650785,0.00178231774224827,2.2604233802275e-05,22.5207119892788,0.285618791269624,0.445579435562067,0.00565105845056875,5630.17799731971,71.4046978174061,111.394858890517,1.41276461264219,64567.8496638779,818.88135617804,1277.49540167217,16.201827573294,70198.0276611976,890.286053995446,1388.89026056269,17.6145921859362,0.0511107912,0.00101124322822779,0.000588834000000003,1.1650267606311e-05
"7","Hib","Alabama","All ages",5054253,1,10,"10 Years",0.878,2.26323982338289,0.0397315375446439,0.0447789183363574,0.000786101082487242,2.15007783221375,0.0377449606674117,0.0425399724195395,0.00074679602836288,0.0905295929353158,0.00158926150178575,0.0017911567334543,3.14440432994896e-05,22.632398233829,0.39731537544644,0.447789183363574,0.00786101082487244,5658.09955845724,99.3288438616103,111.947295840894,1.96525270621812,64888.0589295116,1139.12026596608,1283.83084363825,22.5378560583747,70546.1584879689,1238.4491098277,1395.77813947915,24.5031087645928,0.0511107912,0.00101124322822779,0.000588834000000003,1.1650267606311e-05
"8","Hib","Alabama","All ages",5054253,1,20,"20 Years",0.878,2.28215076156802,0.0586433515461353,0.045153077251337,0.00116027732577169,2.16804322348962,0.0557111839688285,0.0428954233887701,0.0011022634594831,0.0912860304627206,0.00234573406184541,0.00180612309005348,4.64110930308675e-05,22.8215076156802,0.586433515461353,0.45153077251337,0.0116027732577169,5705.37690392004,146.608378865338,112.882693128342,2.90069331442922,65430.2436589825,1681.33010546886,1294.55814061905,33.2656498491243,71135.6205629025,1827.9384843342,1407.44083374739,36.1663431635536,0.0511107912,0.00101124322822779,0.000588834000000003,1.1650267606311e-05
"9","Hib","Alabama","All ages",5054253,2,1,"1 Year",0.878,2.22973487223206,0.00716861706939267,0.044116012242206,0.000141833364285339,2.11824812862046,0.00681018621592298,0.0419102116300957,0.000134741696071071,0.0891893948892826,0.000286744682775711,0.00176464048968824,5.67333457141363e-06,22.2973487223207,0.071686170693928,0.44116012242206,0.00141833364285341,5574.33718058016,17.921542673482,110.290030605515,0.354583410713354,63927.4575728884,205.527333884832,1264.82504086931,4.06642354240739,69501.7947534685,223.448876558313,1375.11507147483,4.42100695312073,0.0505219572,0.00099959296062148,0.001177668,2.33005352126219e-05
"10","Hib","Alabama","All ages",5054253,2,5,"5 Years",0.878,2.28077604727043,0.0572667274695118,0.0451258780925773,0.00113304038142752,2.16673724490691,0.0544033910960363,0.0428695841879485,0.00107638836235614,0.0912310418908173,0.00229066909878047,0.00180503512370309,4.53216152571008e-05,22.8077604727043,0.572667274695118,0.451258780925773,0.0113304038142752,5701.94011817608,143.16681867378,112.814695231443,2.8326009535688,65390.8300089436,1641.86170124372,1293.77832904177,32.4847549428911,71092.7701271197,1785.0285199175,1406.59302427321,35.3173558964599,0.0505219572,0.00099959296062148,0.001177668,2.33005352126219e-05
